class,sc,omc_sc,cov_gap
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateTimeZone.html>org.joda.time.DateTimeZone</a>,92.067986,45.32578,46.742207
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ReadablePartialConverter.html>org.joda.time.convert.ReadablePartialConverter</a>,100.0,85.71429,14.285713
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GJYearOfEraDateTimeField.html>org.joda.time.chrono.GJYearOfEraDateTimeField</a>,65.21739,13.043478,52.173912
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Seconds.html>org.joda.time.Seconds</a>,100.0,86.36364,13.63636
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/RemainderDateTimeField.html>org.joda.time.field.RemainderDateTimeField</a>,55.813957,11.627908,44.18605
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField.html>org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField</a>,73.91304,17.391304,56.521736
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/AbstractPartialFieldProperty.html>org.joda.time.field.AbstractPartialFieldProperty</a>,100.0,89.13044,10.86956
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/StrictDateTimeField.html>org.joda.time.field.StrictDateTimeField</a>,36.363636,27.272728,9.090908
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateTimeFieldType.html>org.joda.time.DateTimeFieldType</a>,97.1223,39.568348,57.55395
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/UnsupportedDurationField.html>org.joda.time.field.UnsupportedDurationField</a>,60.000004,32.5,27.500004
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/LenientDateTimeField.html>org.joda.time.field.LenientDateTimeField</a>,71.42857,57.14286,14.285713
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateTimeComparator.html>org.joda.time.DateTimeComparator</a>,100.0,90.909096,9.090904
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/AbstractDateTime.html>org.joda.time.base.AbstractDateTime</a>,100.0,89.74359,10.256409
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/SkipUndoDateTimeField.html>org.joda.time.field.SkipUndoDateTimeField</a>,80.0,10.0,70.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/AbstractConverter.html>org.joda.time.convert.AbstractConverter</a>,100.0,80.0,20.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/PeriodFormatterBuilder.html>org.joda.time.format.PeriodFormatterBuilder</a>,93.8802,36.71875,57.161453
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/ISOChronology.html>org.joda.time.chrono.ISOChronology</a>,97.61904,61.904762,35.71428
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/DelegatedDateTimeField.html>org.joda.time.field.DelegatedDateTimeField</a>,47.540985,21.311476,26.22951
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicChronology.html>org.joda.time.chrono.BasicChronology</a>,98.58491,41.509434,57.075474
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/LenientChronology.html>org.joda.time.chrono.LenientChronology</a>,85.41667,35.416664,50.000008
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicYearDateTimeField.html>org.joda.time.chrono.BasicYearDateTimeField</a>,97.368416,39.473686,57.89473
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/DividedDateTimeField.html>org.joda.time.field.DividedDateTimeField</a>,52.83019,22.64151,30.188679
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/DateConverter.html>org.joda.time.convert.DateConverter</a>,100.0,75.0,25.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/ZonedChronology.html>org.joda.time.chrono.ZonedChronology</a>,81.856544,59.07173,22.784813
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/BaseDateTimeField.html>org.joda.time.field.BaseDateTimeField</a>,96.98795,61.445786,35.542168
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/ZeroIsMaxDateTimeField.html>org.joda.time.field.ZeroIsMaxDateTimeField</a>,37.142857,14.285715,22.857141
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/DateTimeFormatterBuilder.html>org.joda.time.format.DateTimeFormatterBuilder</a>,83.462814,37.62486,45.837955
